NAAM;NED_NAAM;ID
Linderniaceae;;41
Loasaceae;;21
Loganiaceae;;34
Lophiocarpaceae;;16
Lophopyxidaceae;;45
Loranthaceae;;61
Lowiaceae;;69
Lythraceae;Kattenstaartfamilie;48
Macarthuriaceae;;16
Magnoliaceae;;44
Malpighiaceae;;45
Malvaceae;Kaasjeskruidfamilie;46
Marantaceae;;69
Marcgraviaceae;;29
Martyniaceae;;41
Maundiaceae;;2
Mayacaceae;;57
Mazaceae;;41
Melanthiaceae;Eenbesfamilie;43
Melastomataceae;;48
Meliaceae;;62
Menispermaceae;;59
Menyanthaceae;Watergentiaanfamilie;8
Metteniusaceae;;47
Microteaceae;;16
Misodendraceae;;61
Mitrastemonaceae;;29
Molluginaceae;;16
Monimiaceae;;42
Montiaceae;;16
Montiniaceae;;64
Moraceae;Moerbeifamilie;60
Moringaceae;;12
Muntingiaceae;;46
Musaceae;;69
Myodocarpaceae;;4
Myricaceae;Gagelfamilie;32
Myristicaceae;;44
Myrothamnaceae;;38
Myrtaceae;Mirtefamilie;48
Nartheciaceae;Beenbreekfamilie;26
Nelumbonaceae;;58
Nepenthaceae;;16
Neuradaceae;;46
Nitrariaceae;;62
Nothofagaceae;;32
Nyctaginaceae;;16
Nymphaeaceae;Waterleliefamilie;49
Nyssaceae;;21
Ochnaceae;;45
Olacaceae;;61
Oleaceae;Olijffamilie;41
Onagraceae;Teunisbloemfamilie;48
Oncothecaceae;;40
Opiliaceae;;61
Orchidaceae;OrchideeÃ«nfamilie;7
Orobanchaceae;Bremraapfamilie;41
Oxalidaceae;Klaverzuringfamilie;50
Paeoniaceae;;63
Pandaceae;;45
Pandanaceae;;51
Papaveraceae;Papaverfamilie;59
Paracryphiaceae;;52
Passifloraceae;;45
Paulowniaceae;;41
Pedaliaceae;;41
Penaeaceae;;48
Pennantiaceae;;4
Pentadiplandraceae;;12
Pentaphragmataceae;;8
Pentaphylacaceae;;29
Penthoraceae;;63
Peraceae;;45
Peridiscaceae;;63
Petenaeaceae;;39
Petermanniaceae;;43
Petiveriaceae;;16
Petrosaviaceae;;53
Phellinaceae;;8
Philesiaceae;;43
Philydraceae;;20
Phrymaceae;;41
Phyllanthaceae;;45
