NAAM
Acorales
Alismatales
Amborellales
Apiales
Aquifoliales
Arecales
Asparagales
Asterales
Austrobaileyales
Berberidopsidales
Boraginales
Brassicales
Bruniales
Buxales
Canellales
Caryophyllales
Celastrales
Ceratophyllales
Chloranthales
Commelinales
Cornales
Crossosomatales
Cucurbitales
Cycadales
Dilleniales
Dioscoreales
Dipsacales
Ephedrales
Ericales
Escalloniales
Fabales
Fagales
Garryales
Gentianales
Geraniales
Ginkgoales
Gnetales
Gunnerales
Huerteales
Icacinales
Lamiales
Laurales
Liliales
Magnoliales
Malpighiales
Malvales
Metteniusales
Myrtales
Nymphaeales
Oxalidales
Pandanales
Paracryphiales
Petrosaviales
Picramniales
Pinales
Piperales
Poales
Proteales
Ranunculales
Rosales
Santalales
Sapindales
Saxifragales
Solanales
Trochodendrales
Vahliales
Vitales
Welwitschiales
Zingiberales
Zygophyllales
