NAAM;FAMILIE_ID
Cassupa;348
Cassutha;105
Cassuvium;18
Cassytha;219
Castalia;274
Castalis;
Castanea;159
Castanedia;
Castanella;355
Castanocarpus;
Castanoclobos;
Castanola;104
Castanopsis;159
Castanospermum;
Castanospora;355
Castela;369
Castellanoa;15
Castellanosia;70
Castellia;322
Castelnavia;324
Castilla;258
Castilleja;283
Castorea;416
Castratella;246
Castrilanthemum;
Castroviejoa;
Casuarina;87
Catabrosa;322
Catabrosella;322
Catachaenia;246
Catachaetum;282
Catacline;
Catacolea;340
Catadysia;60
Catagoniopsis;
Catagonium;
Catalepidia;333
Catalepis;322
Catalpa;54
Catamixis;
Catananche;
Catanthera;246
Catapodium;322
Catappa;102
Catas;333
Catasetum;282
Catatia;
Catenulina;60
Catesbaea;348
Catha;88
Catharanthus;25
Catharinea;
Catharinella;
Cathariostachys;322
Catharomnion;
Cathartocarpus;
Cathartolinum;226
Cathastrum;88
Cathaya;315
Cathayanthe;170
Cathcartia;288
Cathedra;277
Cathestecum;322
Cathetus;309
Cathormion;
Catinga;266
Catoblastus;32
Catocoryne;246
Catoferia;216
Catolesia;
Catolobus;60
Catonia;246
Catophractes;54
Catopsis;61
Catoscopium;
Catostemma;238
Cattleya;282
Catunaregam;348
Caturus;154
Catyclia;282
Caucaea;282
Caucalis;24
Caucanthus;237
Caucasalia;
Caudalejeunea;
Caudoxalis;284
Caulanthus;60
Caularthron;282
Caulinia;
Caulokaempferia;426
Caulophyllum;50
Caulostramina;60
Caulotretus;
Caustis;123
Cautleya;426
Cavacoa;154
Cavalcantia;
Cavaleriea;186
Cavaleriella;81
Cavanilla;201
Cavanillesia;238
Cavaraea;
Cavea;
Cavendishia;149
Cavicularia;
Caxamarca;
Cayaponia;115
Caylusea;339
Cayratia;419
Ceanothus;342
Cearanthes;15
Cebatha;248
Cebipira;
Cecalyphum;
Cecarria;232
Cecropia;413
Cedrela;247
Cedrelinga;
Cedrelopsis;247
Cedronella;216
Cedronia;369
Cedrota;219
Cedrus;247
Cedrus;315
Ceiba;238
Celastrus;88
Celerina;1
Celianella;309
Celiantha;167
Celmearia;
Celmisia;
Celosia;14
Celsia;367
Celtis;78
Cenarrhenes;333
Cenchrus;322
Cenia;
Cenocentrum;238
Cenocline;
Cenolophium;24
Cenostigma;
Centaurea;
Centaureopappus;
Centaurium;167
Centaurodendron;
Centauropsis;
Centaurothamnus;
Centauserratula;
Centella;24
Centema;14
Centemopsis;14
Centinodia;327
Centipeda;
Centotheca;322
Centrachena;
Centradenia;246
Centradeniastrum;246
Centranthera;283
Centrantheropsis;283
Centranthus;81
Centrapalus;
Centratherum;
Centrilla;1
Centrocarpha;
Centrochloa;322
Centrogenium;282
Centroglossa;282
Centrolepis;
Centrolobium;
Centromadia;
Centronia;246
Centroplacus;89
Centropodia;322
Centropogon;75
Centrosema;
Centrosolenia;170
Centrospermum;
Centrostachys;14
Centrostegia;327
Centrostemma;25
Centrostigma;282
Centunculus;332
Ceodes;273
Cephaelis;348
Cephalacanthus;1
Cephalangraecum;282
Cephalanthera;282
Cephalantheropsis;282
Cephalanthus;348
Cephalaralia;30
Cephalaria;81
Cephalidium;348
Cephalipterum;
Cephalocarpus;123
Cephaloceraton;
Cephalocereus;70
Cephalocleistocactus;70
Cephalocroton;154
Cephalocrotonopsis;154
Cephalohibiscus;238
Cephalojonesia;
Cephalolejeunea;
Cephalolobus;
Cephalomamillaria;70
Cephalomanes;
Cephalomappa;154
Cephalomedinilla;246
Cephalomitrion;
Cephalonema;238
Cephalopactis;282
Cephalopactis;282
Cephalopappus;
Cephalopentandra;115
Cephalophilon;327
Cephalophis;1
Cephalophora;
Cephalophorus;70
Cephalophyllum;7
Cephalopodum;24
Cephalorchis;282
Cephalorhizum;321
Cephalorrhynchus;
Cephalosorus;
Cephalosphaera;264
Cephalostachyum;322
Cephalostemon;338
Cephalotaxus;392
Cephalotomandra;273
Cephalotrophis;258
Cephalotus;90
Cephalozia;
Cephaloziella;
Cephaloziopsis;
Cepheliocereus;70
Ceradenia;
Ceramicalyx;246
Ceramocarpium;219
Ceramophora;219
Ceranthe;58
Ceranthera;374
Cerapadus;346
Ceraria;132
Cerasiocarpum;115
Cerasolouiseania;346
Cerasolouiseania;346
Cerastium;86
Cerasus;346
Ceratandra;282
Ceratanthus;216
Ceratiola;149
Ceratiosicyos;2
Ceratocapnos;288
Ceratocarpus;14
Ceratocaryum;340
Ceratocentron;282
Ceratocephala;337
Ceratocephalus;337
Ceratochilus;282
Ceratochloa;322
Ceratocnemum;60
Ceratodactylis;
Ceratodon;
Ceratogyne;
Ceratoides;14
Ceratolacis;324
Ceratolejeunea;
Ceratolimon;321
Ceratolobus;32
Ceratonia;
Ceratopetalum;116
Ceratophyllum;91
Ceratopteris;
Ceratopyxis;348
Ceratosanthes;115
Ceratostanthus;337
Ceratostema;149
Ceratostigma;321
Ceratostylis;282
Ceratotheca;292
Ceratoxalis;284
Ceratozamia;425
Cerbera;25
Cerberiopsis;25
Cercanthemum;276
Cercestis;29
Cercidiphyllum;92
Cercidium;
Cercinia;276
Cercis;
Cercocarpus;346
Cercostylos;
Cercouratea;276
Cerdana;58
Cerdia;86
Cereus;70
Cerinthe;58
Cerinthodes;58
Cerinthopsis;58
Ceriops;343
Ceriosperma;60
Ceriscoides;348
Cerochlamys;7
Ceropegia;25
Cerophyllum;178
Ceropteris;
Cerosora;
Cerothamnus;263
Ceroxylon;32
Cerris;159
Ceruana;
Cervantesia;354
Cervaria;24
Cervicina;75
Cesius;
Cespedesia;276
Cestichis;282
Cestrum;374
Ceterach;
Ceterachopsis;
Ceterophyllitis;
Ceuthocarpus;348
Ceuthospora;
Ceuthostoma;87
Ceuthotheca;
Cevallia;228
Chacoa;
Chadsia;
Chaenactis;
Chaenanthera;246
Chaenarrhinum;318
Chaenesthes;374
Chaenomeles;346
Chaenopleura;246
Chaenorhinum;318
Chaenostoma;367
Chaerophyllopsis;24
Chaerophyllum;24
Chaetacanthus;1
Chaetachme;412
Chaetadelpha;
Chaetanthera;
Chaetanthus;340
Chaetaria;322
Chaetium;322
Chaetobromus;322
Chaetocalyx;
Chaetocarpus;299
Chaetochlamys;1
Chaetocolea;
Chaetocyperus;123
Chaetodiscus;150
Chaetogastra;246
Chaetolepis;246
Chaetolimon;321
Chaetomitrella;
Chaetomitriopsis;
Chaetomitrium;
Chaetonychia;86
Chaetopappa;
Chaetophora;
Chaetophyllopsis;
Chaetopoa;322
Chaetopogon;322
Chaetosciadium;24
Chaetoseris;
Chaetospora;123
Chaetostachydium;348
Chaetostoma;246
Chaetothylax;1
Chaetymenia;
Chailletia;131
Chaiturus;216
Chalarothyrsus;1
Chalcanthus;60
Chalcas;350
Chalema;115
Chalepoa;152
Chalepophyllum;348
Chalybea;246
Chamabainia;413
Chamaeangis;282
Chamaeanthus;282
Chamaebatia;346
Chamaebatiaria;346
Chamaebivia;70
Chamaebryum;
Chamaebuxus;326
Chamaecassia;
Chamaecerasus;81
Chamaechaenactis;
Chamaeclitandra;25
Chamaecostus;110
Chamaecrista;
Chamaecrypta;367
Chamaecyparis;117
Chamaecytisus;
Chamaedaphne;149
Chamaedorea;32
Chamaedryfolia;413
Chamaefilix;
Chamaefistula;
Chamaegastrodia;282
Chamaegeron;
Chamaejasme;401
Chamaele;24
Chamaeleon;
Chamaeleorchis;282
Chamaelirium;245
Chamaelobivia;70
Chamaemeles;346
Chamaemelum;
Chamaemespilus;346
Chamaemyrrhis;24
Chamaenerion;279
Chamaepentas;348
Chamaepericlymenum;107
Chamaepeuce;
Chamaepus;
Chamaeranthemum;1
Chamaeraphis;322
Chamaerhodiola;111
Chamaerhodos;346
Chamaerops;32
Chamaesaracha;374
Chamaesciadium;24
Chamaescilla;35
Chamaesenna;
Chamaesium;24
Chamaespartium;
Chamaesparton;
Chamaesphacos;216
Chamaesyce;154
Chamaexeros;35
Chamaezicactus;70
Chamarea;24
Chamberlainia;
Chambeyronia;32
Chamelaucium;266
Chameleion;
Chamelophyton;282
Chamerion;279
Chamguava;266
Chamira;60
Chamissoa;14
Chamorchis;282
Champaca;236
Champereia;281
Championella;1
Championia;170
Chandonanthus;
Chandrasekharania;322
Chanekia;219
Changiostyrax;386
Changium;24
Changnienia;282
Chapelieria;348
Chapmannia;
Chaptalia;
Charadranaetes;
Charadrophila;382
Chardinia;
Charesia;86
Charianthus;246
Charidion;276
Chariessa;82
Charlwoodia;35
Charpentiera;14
Chartolepis;
Chartoloma;60
Chasallia;348
Chascanum;416
Chascolytrum;322
Chascotheca;309
Chasechloa;322
Chaseella;282
Chasmanthe;202
Chasmanthera;248
Chasmanthium;322
Chasmatophyllum;7
Chasme;333
Chasmia;54
Chasmone;
Chasmopodium;322
Chassalia;348
Chatinia;232
Chaubardia;282
Chaubardiella;282
Chauliodon;282
Chaunanthus;60
Chaunochiton;277
Chaunostoma;216
Chautemsia;170
Chavica;316
Chaydaia;342
Chazaliella;348
Cheesemania;60
Cheilanthes;
Cheilanthopsis;
Cheiloclinium;88
Cheilococca;
Cheilocostus;110
Cheilogramma;
Cheilolejeunea;
Cheilolepton;
Cheilophyllum;367
Cheiloplecton;
Cheilosa;154
Cheilosandra;170
Cheilosoria;
Cheilotheca;149
Cheilothela;
Cheiradenia;282
Cheiranthera;317
Cheiranthesimum;60
Cheiranthus;60
Cheiri;60
Cheiridopsis;7
Cheirinia;60
Cheirisanthera;170
Cheirodendron;30
Cheiroglossa;
Cheirolaena;238
Cheirolophus;
Cheiropleuria;
Cheiropteris;
Cheirostylis;282
Cheirysimum;60
Chelidonium;288
Cheliusia;
Chelonanthus;167
Chelone;318
Chelonespermum;356
Chelonistele;282
Chelonopsis;216
Chelyocarpus;32
Chelyorchis;282
Chengiopanax;30
Chenia;
Chenolea;14
Chenopodiopsis;367
Chenopodium;14
Cherina;
Chersodoma;
Chesneya;
Chesniella;
Chetyson;111
Chevalierella;322
Chevreulia;
Cheyniana;266
Chiangiodendron;2
Chiapasophyllum;70
Chiarinia;355
Chiastocaulon;
Chiastophyllum;111
Chiazospermum;288
Chicharronia;102
Chichicaste;228
Chidlowia;
Chieniodendron;21
Chieniopteris;
Chihuahuana;
Chikusichloa;322
Childsia;
Chilenia;70
Chileobryon;
Chileranthemum;1
Chiliadenus;
Chiliocephalum;
Chiliophyllum;
Chiliotrichiopsis;
Chiliotrichum;
Chilita;70
Chilmoria;2
Chilocalyx;97
Chilocardamum;60
Chilocarpus;25
Chilodia;216
Chiloglottis;282
Chilopogon;282
Chilopsis;54
Chiloschista;282
Chiloscyphus;
Chimantaea;
Chimaphila;149
Chimarrhis;348
Chimborazoa;355
Chimonanthus;73
Chimonobambusa;322
Chimonocalamus;322
Chingia;
Chingiacanthus;1
Chingyungia;283
Chiococca;348
Chionachne;322
Chionanthus;278
Chione;348
Chionice;346
Chionocharis;58
Chionochloa;322
Chionogentias;167
Chionographis;245
Chionolaena;
Chionoloma;
Chionopappus;
Chionophila;318
Chionostomum;
Chionothrix;14
Chiovendaea;
Chiranthodendron;238
Chiranthomontodendron;238
Chiratia;234
Chiridium;232
Chirita;170
Chiritopsis;170
Chironia;167
Chiropetalum;154
Chisocheton;247
Chitalpa;54
Chitonia;428
Chlaenandra;248
Chlaenobolus;
Chlaenosciadium;24
Chlamydacanthus;1
Chlamydanthus;401
Chlamydoboea;170
Chlamydocardia;1
Chlamydocarya;201
Chlamydogramme;
Chlamydojatropha;154
Chlamydophora;
Chlamydophytum;43
Chlamydostachya;1
Chlamysperma;
Chlidanthus;15
Chloanthes;216
Chlora;167
Chloracantha;
Chloraea;282
Chloranthelia;
Chloranthus;93
Chloris;322
Chlorocalymma;322
Chlorocardium;219
Chlorocarpa;2
Chlorocrambe;60
Chlorocyathus;25
Chlorogalum;35
Chloroleucon;
Chloromeles;346
Chloropatane;154
Chlorophora;258
Chlorophytum;35
Chloropsis;322
Chlorosa;282
Chlorospatha;29
Chloroxylon;350
Chnoophora;
Chodaphyton;367
Choerospondias;18
Choisya;350
Chomelia;348
Chondrilla;
Chondriolejeunea;
Chondrodendron;248
Chondropyxis;
Chondrorhyncha;282
Chondroscaphe;282
Chondrosea;361
Chondrostylis;154
Chondrosum;322
Chonecolea;
Chonemorpha;25
Chonocentrum;309
Chonopetalum;355
Chordifex;340
Chordospartium;
Choretrum;354
Choriantha;58
Choribena;350
Choricarpia;266
Choriceras;314
Chorigyne;120
Chorilaena;350
Chorilepidella;232
Chorilepis;232
Choriosphaera;54
Choriptera;14
Chorisandrachne;309
Chorisanthera;170
Chorisepalum;167
Chorisia;238
Chorisiva;
Chorisochora;1
Chorisodontium;
Chorispora;60
Choristea;
Choristemon;149
Choristes;348
Choristosoria;
Choristylis;204
Choritaenia;24
Chorizandra;123
Chorizanthe;327
Chorizema;
Chortolirion;
Chosenia;352
Chouxia;355
Chresta;
Chrestienia;1
Chrinephrium;
Chrismatopteris;
Christella;
Christensenia;
Christensonella;282
Christensonia;282
Christia;
Christiana;238
Christianella;237
Christiopteris;
Christisonia;283
Christmannia;88
Christolea;60
Chroesthes;1
Chromochiton;
Chromolaena;
Chromolepis;
Chromolucuma;356
Chronanthos;
Chroniochilus;282
Chronopappus;
Chrozophora;154
Chrysaboltonia;
Chrysactinia;
Chrysactinium;
Chrysanthellum;
Chrysanthemoachillea;
Chrysanthemoides;
Chrysanthemum;
Chrysanthoglossum;
Chrysaspis;
Chrysitrix;123
Chryso-hypnum;
Chrysobalanus;94
Chrysoblastella;
Chrysobraya;60
Chrysocalyx;
Chrysocephalum;
Chrysochamela;60
Chrysochlamys;99
Chrysochloa;322
Chrysochosma;
Chrysocladium;
Chrysocoma;
Chrysocoryne;
Chrysocyathus;337
Chrysocycnis;282
Chrysodium;
Chrysoglossum;282
Chrysogonum;
Chrysogrammitis;
Chrysohypnum;
Chrysolaena;
Chrysolepis;159
Chrysolyga;234
Chrysoma;
Chrysophania;
Chrysophora;246
Chrysophthalmum;
Chrysophyllum;356
Chrysopia;99
Chrysopogon;322
Chrysopsis;
Chrysopteris;
Chrysoscias;
Chrysosplenium;361
Chrysostoma;228
Chrysothamnus;
Chrysothemis;170
Chrysothesium;354
Chrysoxylon;348
Chrystolia;
Chthamalia;25
Chthonia;
Chthonocephalus;
Chuanminshen;24
Chucoa;
Chukrasia;247
Chulusium;327
Chuncoa;102
Chunia;186
Chuniophoenix;32
Chupalon;149
Chuquiraga;
Churumaya;316
Chusquea;322
Chusua;282
Chydenanthus;220
Chylismia;279
Chylismiella;279
Chymococca;401
Chymsydia;24
Chysis;282
Chytraculia;266
Chytranthus;355
Chytroglossa;282
Chytroma;220
Cibirhiza;25
Cibotarium;60
Cibotium;
Cicca;309
Cicendia;167
Cicer;
Cicerbita;
Cicercula;
Ciceronia;
Cichlanthus;232
Cichorium;
Ciconium;168
Cicuta;24
Cieca;290
Cienfuegosia;238
Cienkowskia;426
Ciliaria;361
Ciliosemina;348
Cimicifuga;337
Ciminalis;167
Cinchona;348
Cinchonopsis;348
Cincinalis;
Cincinnobotrys;246
Cincinnulus;
Cinclidium;
Cinclidotus;
Cineraria;
Cinna;322
Cinnabarinea;70
Cinnadenia;219
Cinnamodendron;77
Cinnamomum;219
Cinnamosma;77
Cinnastrum;322
Cinsania;149
Cionidium;
Cionosicyos;115
Cionosicys;115
Cionura;25
Cipadessa;247
Cipocereus;70
Cipoia;324
Cipura;202
Circaea;279
Circaeaster;95
Circandra;7
Circinnus;
Circulifolium;
Cirrhaea;282
Cirrhopetalum;282
Cirriphyllum;
Cirsiocarduus;
Cirsium;
Cischweinfia;282
Cissampelopsis;
Cissampelos;248
Cissarobryon;
Cissus;419
Cistanche;283
Cistanthe;329
Cistanthera;238
Cistus;96
Cithareloma;60
Citharexylum;416
Citreum;350
Citriobatus;317
Citriosma;255
Citroncirus;350
Citronella;82
Citropsis;350
Citrosma;255
Citrullus;115
Citrus;350
Cladanthus;
Cladastomum;
Claderia;282
Cladiantholejeunea;
Cladium;123
Cladocarpa;115
Cladoceras;348
Cladochaeta;
Cladocolea;
Cladocolea;232
Cladodium;
Cladogelonium;154
Cladogynos;154
Cladolejeunea;
Cladomastigum;
Cladomnion;
Cladomniopsis;
Cladomyza;354
Cladophascum;
Cladopodanthus;
Cladopodiella;
Cladopogon;
Cladopus;324
Cladoraphis;322
Cladorhiza;282
Cladostemon;80
Cladostigma;105
Cladothamnus;149
Cladrastis;
Clambus;309
Clandarium;
Claopodium;
Claoxylon;154
Claoxylopsis;154
Clappertonia;238
Clappia;
Clara;35
Clarionea;
Clarisia;258
Clarkeasia;1
Clarkella;348
Clarkia;279
Clasmatocolea;
Clasmatodon;
Clastilix;246
Clastobryella;
Clastobryophilum;
Clastobryopsis;
Clastobryum;
Clastopus;60
Clathrospermum;21
Clathrotropis;
Clausena;350
Clausenellia;111
Clausia;60
Clausospicula;322
Clavarioidia;70
Clavigera;
Clavija;332
Clavitheca;
Clavulium;
Claytonia;256
Claytoniella;256
Cleghornia;25
Cleidiocarpon;154
Cleidion;154
Cleiemera;105
Cleisocentron;282
Cleisomeria;282
Cleisostoma;282
Cleisostomopsis;282
Cleistachne;322
Cleistanthus;309
Cleistes;282
Cleistesiopsis;282
Cleistocactus;70
Cleistocana;70
Cleistocarpidium;
Cleistochlamys;21
Cleistochloa;322
Cleistogenes;322
Cleistopholis;21
Cleistostoma;
Clematepistephium;282
Clematicissus;419
Clematis;337
Clematoclethra;5
Clematopsis;337
Clemensiella;25
Clementsia;111
Cleobulia;
Cleochroma;374
Cleome;97
Cleomella;97
Cleonia;216
Cleoserrata;80
Clercia;88
Cleretum;7
Clermontia;75
Clerodendrum;216
Clethra;98
Clevea;
Cleyera;297
Clianthus;
Clibadium;
Clidemia;246
Clidemiastrum;246
Cliffortia;346
Cliftonia;124
Climacium;
Climacoptera;14
Clinacanthus;1
Clinanthus;15
Clinelymus;322
Clinogyne;239
Clinomicromeria;216
Clinopodium;216
Clinosperma;32
Clinostemon;219
Clinostigma;32
Clintonia;223
Cliocarpus;374
Cliococca;226
Clipteria;
Clistax;1
Clitandra;25
Clitocyamos;105
Clitoria;
Clitoriopsis;
Cliveucharis;15
Clivia;15
Cloezia;266
Cloiselia;
Clomenocoma;
Clonodia;237
Clonostylis;154
Closia;
Closterandra;288
Clowesia;282
Cluacena;266
Clusia;99
Clusiella;72
Clutia;299
Cluytiandra;309
Clymenia;350
Clymenum;
Clypea;248
Clypeola;60
Clytostoma;54
Cnemidaria;
Cneoridium;350
Cneorum;350
Cnesmocarpon;355
Cnesmone;154
Cnestidium;104
Cnestis;104
Cnestrum;
Cnicothamnus;
Cnicus;
Cnidiocarpa;24
Cnidium;24
Cnidoscolus;154
Coaxana;24
Cobaea;325
Cobana;202
Cobananthus;170
Cobresia;123
Coburgia;15
Coccineorchis;282
Coccinia;115
Coccobryon;316
Coccochondra;348
Coccocypselum;348
Coccoloba;327
Coccolobis;327
Cocconerion;154
Coccosperma;149
Coccothrinax;32
Cocculidium;248
Cocculus;248
Coccyganthe;86
Cochemiea;70
Cochiseia;70
Cochleanthes;282
Cochlearia;60
Cochleata;
Cochlianthus;
Cochliasanthus;
Cochlidiosperma;318
Cochlidium;
Cochliostema;103
Cochlospermum;55
Cochranea;58
Cockerellia;111
Cocos;32
Codariocalyx;
Codarium;
Coddia;348
Coddingtonia;348
Codia;116
Codiaeum;154
Codiocarpus;381
Codomale;35
Codon;58
Codonacanthus;1
Codonandra;
Codonanthe;170
Codonanthemum;149
Codonanthopsis;170
Codonoblepharon;
Codonoblepharum;
Codonoboea;170
Codonocarpus;182
Codonocephalum;
Codonochlamys;238
Codonophora;170
Codonopsis;75
Codonorchis;282
Codonosiphon;282
Codoriocalyx;
Codriophorus;
Coelachne;322
Coelachyrum;322
Coelanthum;254
Coelia;282
Coelidium;
Coelidium;
Coeliopsis;282
Coelocarpum;416
Coelocaryon;264
Coeloglossogymnadenia;282
Coeloglossogymnadenia;282
Coeloglossorchis;282
Coeloglossum;282
Coelogyne;282
Coeloneurum;374
Coelophragmus;60
Coelopleurum;24
Coelopyrena;348
Coelorachis;322
Coelospermum;348
Coelostegia;238
Coelostylis;237
Coespeletia;
Coffea;348
Cogniauxia;115
Cogswellia;24
Cogylia;50
Cohiba;58
Cohniella;282
Coiladena;105
Coilantha;167
Coilocarpus;14
Coilochilus;282
Coilostigma;149
Coincya;60
Coinochlamys;166
Coix;322
Cojoba;
Cola;238
Colanthelia;322
Colbertia;133
Colchicum;100
Coldenia;58
Colea;54
Coleactina;348
Coleanthera;149
Coleanthus;322
Coleataenia;322
Colebrookea;216
Coleobotrys;232
Coleocarya;340
Coleocephalocereus;70
Coleochaetium;
Coleochloa;123
Coleocoma;
Coleogyne;346
Coleonema;350
Coleosanthus;
Coleostachys;237
Coleostephus;
Coleotrype;103
Coleus;216
Colicodendron;80
Colignonia;273
Collabium;282
Colladonia;24
Collaea;
Collandra;170
Collania;11
Colleteria;348
Colletia;342
Colletoecema;348
Colletogyne;29
Colliguaja;154
Collinsia;318
Collinsonia;216
Collomia;325
Collospermum;37
Colmeiroa;309
Colobanthera;
Colobanthus;86
Colobocarpos;154
Colobodontium;
Colobotus;
Colocasia;29
Colocynthis;115
Cologania;
Cololejeunea;
Cololobus;
Colona;238
Colophonia;65
Colophospermum;
Colpias;367
Colpodium;322
Colpogyne;170
Colpoon;354
Colpothrinax;32
Colquhounia;216
Colsmannia;58
Colubrina;342
Columbea;31
Columbia;238
Columbiadoria;
Columella;419
Columellia;101
Columnea;170
Colura;
Coluria;346
Colurolejeunea;
Colutea;
Coluteastrum;
Coluteocarpus;60
Colutia;
Colvillea;
Colycea;
Colymbacosta;
Colymbada;
Colysis;
Colythrum;350
Comacephalus;149
Comaclinium;
Comandra;354
Comanthera;150
Comanthosphace;216
Comarella;346
Comarostaphylis;149
Comarum;346
Comastoma;167
Combera;374
Comborhiza;
Combretocarpus;20
Combretum;102
Comesperma;326
Cometes;86
Comiphyton;343
Commelina;103
Commersonia;238
Commicarpus;273
Commidendrum;
Commiphora;65
Commirhoea;99
Comocladia;18
Comolia;246
Comoliopsis;246
Comomyrsine;332
Comoranthus;278
Comoroa;350
Comospermum;35
Comparettia;282
Compsoneura;264
Compteris;
Comptoglossum;282
Comptonella;350
Comptonia;263
Conandrium;332
Conandron;170
Conanthera;393
Conanthus;58
Conardia;
Conceveiba;154
Conchidium;282
Conchium;333
Conchocarpus;350
Conchopetalum;355
Conchophyllum;25
Condalia;342
Condalia;348
Condaliopsis;342
Condaminea;348
Condgiea;369
Condylago;282
Condylidium;
Condylocarpon;25
Condylopodium;
Condylostylis;
Congea;216
Conghas;355
Congolanthus;167
Coniandra;115
Conicosia;7
Conimitella;361
Coniodictyogramme;
Coniogramme;
Conioselinum;24
Conium;24
Coniza;
Connarus;104
Connellia;61
Conobea;318
Conocalyx;1
Conocarpus;102
Conocephalum;
Conocephalus;413
Conocliniopsis;
Conoclinium;
Conohoria;418
Conomitra;25
Conomitrium;
Conomorpha;332
Conopholis;283
Conophyllum;7
Conophytum;7
Conopodium;24
Conoria;418
Conosapium;154
Conoscyphus;
Conospermum;333
Conostegia;246
Conostephium;149
Conostomium;348
Conostomum;
Conostylis;183
Conothamnus;266
Conradia;170
Conradina;216
Conringia;60
Consolea;70
Consolida;337
Constancea;
Constantia;282
Contortuplicata;
Convallaria;35
Convolvuloides;105
Convolvulus;105
Conygeron;
Conyza;
Conyzigeron;
Conzattia;
Cooktownia;282
Cooperanthes;15
Coopernookia;175
Copaiba;
Copaifera;
Copaiva;
Copelandiopteris;
Copernicia;32
Copianthus;154
Copiapoa;70
Copisma;
Coppensia;282
Coppoleria;
Coprosma;348
Coprosmanthus;373
Coptidium;337
Coptis;337
Coptocheile;170
Coptophyllum;348
Coptosapelta;348
Coptosperma;348
Coracaea;170
Corallocarpus;115
Corallodendron;
Corallodiscus;170
Corallorhiza;282
Corallospartium;
Corbichonia;230
Corchoropsis;238
Corchorus;238
Cordaea;
Cordeauxia;
Cordia;58
Cordiera;348
Cordiglottis;282
Cordisepalum;105
Cordobia;237
Cordyla;
Cordylanthus;283
Cordyline;35
Cordyloblaste;388
Cordylocarpus;60
Cordylogyne;25
Cordylostigma;348
Corema;149
Coreocarpus;
Coreopsis;
Coreosma;178
Corethamnium;
Corethrodendron;
Corethrogyne;
Coriandrum;24
Coriaria;106
Coriflora;337
Coris;332
Corispermum;14
Cormonema;342
Cormophyllum;
Cormus;346
Cornalia;60
Cornicina;
Cornidia;195
Corniola;
Cornoathyrium;
Cornopteris;
Cornucopiae;322
Cornukaempferia;426
Cornulaca;14
Cornus;107
Cornutia;216
Corokia;33
Corollonema;25
Coromelandrium;86
Coronanthera;170
Corone;86
Coronidium;
Coronilla;
Coronopus;60
Corothamnus;
Corpuscularia;7
Correa;350
Corrigiola;254
Corryocactus;70
Corsia;108
Corsinia;
Corsiopsis;108
Cortaderia;322
Cortia;24
Cortiella;24
Cortusa;332
Cortusina;168
Corunastylis;282
Coryanthes;282
Corybas;282
Corycarpus;322
Corycium;282
Corydalis;288
Corylopsis;186
Corylus;52
Corymbia;266
Corymbium;
Corymborkis;282
Corynabutilon;238
Corynaea;43
Corynanthe;348
Corynanthera;266
Corynella;
Corynephorus;322
Corynitis;
Corynocarpus;109
Corynopuntia;70
Corynostigma;279
Corynostylis;418
Corynotheca;
Corynotheca;
Corypha;32
Coryphantha;70
Coryphopteris;
Coryphothamnus;348
Corysanthera;170
Corythacanthus;1
Corytholoma;170
Corythophora;220
Corytoplectus;170
Coscinium;248
Coscinodon;
Coscinodontella;
Cosentinia;
Cosmarium;337
Cosmea;
Cosmelia;149
Cosmianthemum;1
Cosmibuena;348
Cosmidium;
Cosmiza;221
Cosmocalyx;348
Cosmophyllum;
Cosmos;
Cosmostigma;25
Cossinia;355
Costaea;98
Costantina;25
Costarica;115
Costera;149
Costesia;
Costularia;123
Costus;110
Cota;
Cotinus;18
Cotoneaster;346
Cotopaxia;24
Cottea;322
Cottendorfia;61
Cottonia;282
Cottsia;237
Cotula;
Cotyledon;111
Cotylelobiopsis;137
Cotylelobium;137
Cotylephora;238
Cotylodiscus;355
Cotylolabium;282
Couepia;94
Coula;277
Coulejia;154
Coulterella;
Coulteria;
Coulterina;60
Coulterophytum;24
Couma;25
Coumarouna;
Couralia;54
Couratari;220
Courbaril;
Courbonia;80
Courimari;145
Couringia;60
Couroupita;220
Coursetia;
Courtoisina;123
Cousinia;
Cousiniopsis;
Coussapoa;413
Coussarea;348
Coutaportla;348
Coutarea;348
Couthovia;229
Coutoubea;167
Covellia;258
Coveniella;
Covillea;428
Cowania;346
Cowellocassia;
Cowiea;348
Crabbea;1
Cracca;
Craccina;
Cracosna;167
Crafordia;
Craibella;21
Craibia;
Craibiodendron;149
Craigia;238
Crambe;60
Crambella;60
Cranichis;282
Craniolaria;241
Craniospermum;58
Craniotome;216
Cranocarpus;
Crantzia;170
Crantziola;24
Craspedaria;
Craspedia;
Craspedodictyum;
Craspedolobium;
Craspedoneuron;
Craspedophyllum;
Craspedophyllum;
Craspedorhachis;322
Craspedosorus;
Craspidospermum;25
Crassiphyllum;
Crassocephalum;
Crassula;111
Crassularia;111
Crataegomespilus;346
Crataegosorbus;346
Crataegus;346
Crataemespilus;346
Crateola;1
Crateranthus;220
Craterispermum;348
Craterocapsa;75
Craterosiphon;401
Craterostigma;227
Crateva;80
Cratoneurella;
Cratoneuron;
Cratoneuropsis;
Cratoxylum;199
Cratylia;
Cratystylis;
Crawfurdia;167
Creaghiella;246
Cremanium;246
Cremanthodium;
Cremaspora;348
Cremastopus;115
Cremastosperma;21
Cremastra;282
Cremastus;54
Crematomia;58
Cremersia;170
Cremnophila;111
Cremnothamnus;
Cremocarpon;348
Cremolobus;60
Cremosperma;170
