NAAM;FAMILIE_ID
Adenopogon;167
Adenoporces;237
Adenopus;115
Adenorachis;346
Adenorandia;348
Adenosacme;348
Adenosciadium;24
Adenosma;318
Adenosolen;
Adenostachya;1
Adenostegia;283
Adenostemma;
Adenostephanus;333
Adenostoma;346
Adenostyles;
Adenostylium;
Adenothamnus;
Adesmia;
Adhatoda;1
Adianthum;
Adiantopsis;
Adiantum;
Adicea;413
Adike;413
Adina;348
Adinandra;297
Adinandrella;297
Adinauclea;348
Adipera;
Adiscanthus;350
Adlumia;288
Adnaria;386
Adoketon;14
Adolia;342
Adolphia;342
Adonanthe;337
Adonidia;32
Adonis;337
Adopogon;
Adorium;24
Adoxa;
Adrastaea;133
Adriana;154
Adromischus;111
Adrorhizon;282
Adyseton;60
Aechmandra;115
Aechmea;61
Aechmophora;322
Aechopsis;61
Aedesia;
Aegialina;322
Aegialitis;321
Aegialophila;
Aegiceras;332
Aegilops;322
Aegilotrichum;322
Aegilotrichum;322
Aegilotriticum;322
Aegilotriticum;322
Aeginetia;283
Aegiphila;216
Aegle;350
Aeglopsis;350
Aegochloa;325
Aegokeras;24
Aegonychon;58
Aegopodium;24
Aegopogon;322
Aelbroeckia;322
Aellenia;14
Aeluropus;322
Aenhenrya;282
Aenictophyton;
Aenigmatanthera;237
Aenigmopteris;
Aeolanthus;216
Aeollanthus;216
Aeonia;282
Aeonichryson;111
Aeoniopsis;321
Aeonium;111
Aequatoriella;
Aequatorium;
Aerangis;282
Aeranthes;282
Aeranthus;282
Aerides;282
Aeridovanda;282
Aeridovanda;282
Aerobryidium;
Aerobryopsis;
Aerobryum;
Aerolindigia;
Aerva;14
Aeschrion;369
Aeschynanthus;170
Aeschynomene;
Aesculus;355
Aetanthus;232
Aetheilema;1
Aetheolaena;
Aetheolirion;103
Aetheopappus;
Aetheorhiza;
Aetheorhyncha;282
Aethephyllum;7
Aetheria;282
Aethionema;60
Aethusa;24
Aetopteron;
Aetoxylon;401
Aextoxicon;6
Affonsea;
Afgekia;
Afraegle;350
Afrafzelia;
Aframmi;24
Aframomum;426
Afraurantium;350
Afrobrunnichia;327
Afrocalathea;239
Afrocanthium;348
Afrocarpus;323
Afrodaphne;219
Afrofittonia;1
Afroguatteria;21
Afrolicania;94
Afroligusticum;24
Afrolimon;321
Afromendoncia;1
Afropteris;
Afrormosia;
Afrosciadium;24
Afrosersalisia;356
Afrosison;24
Afrostyrax;192
Afrothismia;64
Afrotrewia;154
Afrotrichloris;322
Afrotrilepis;123
Afrotysonia;58
Afrovivella;111
Afzelia;
Agalinis;283
Agallochum;401
Agalma;30
Agalmyla;170
Agaloma;154
Aganippea;
Aganisia;282
Aganonerion;25
Aganope;
Aganosma;25
Agapanthus;15
Agapetes;149
Agarista;149
Agastache;216
Agastachys;333
Agasthiyamalaia;99
Agasyllis;24
Agatea;418
Agathaea;
Agathelpis;367
Agathis;31
Agathisanthemum;348
Agathophora;14
